"id","course_id","file_name_value","status","added_date","modified_date"
"1","1","Exercise1-Exercise_on _deductions_from_business_income-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"2","1","Exercise1-Marked_up_assignment_for_deductions_from_business_income-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"3","1","Exercise1-Reference_Study_Material _- _Deductions_for_business_or_profession_expenditure-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"4","1","Exercise2-Exercise_on_taxation_of_business_structures_and_angel_tax-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"5","1","Exercise2-Marked_up_assignment_for_taxation_of_business_structures_and_angel_tax-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"6","1","Exercise2-Reference_Study_Material_-_1_Introduction_to_Income_tax_for_Business-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"7","1","Exercise2-Reference_Study_Material_-_2_Tax_rates_for_different_business_structures-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"8","1","Exercise2-Reference_Study_Material_-_3_Minimum_Alternate_Tax_(MAT)-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"9","1","Exercise2-Reference_Study_Material_-_4_Tax_on_distribution_of_profits-1571298766.pdf","A","2019-10-17 00:00:00",NULL
"79","15","How_to_Draft_and_Negotiate_Licensing_and_Franchising_Agreements-1571811218.pdf","A","2019-10-23 00:00:00",NULL
"80","15","Non_Conventional_Trademarks-Sound,_Smell_and_Colour-1571811218.pdf","A","2019-10-23 00:00:00",NULL
"81","15","Sample_Exercise-Pre-grant_objection,_cease_and_desist_notice-1571811218.pdf","A","2019-10-23 00:00:00",NULL
"82","15","Sample-Trademark_License_Agreement-1571811218.pdf","A","2019-10-23 00:00:00",NULL
"83","15","Step_by_step_Trademark_Registration_In_India-1571811218.pdf","A","2019-10-23 00:00:00",NULL
"127","24","Report-and-Analysis-on-Types-of-Questions-in-AIBE-1571915851.pdf","A","2019-10-24 00:00:00",NULL
"128","24","Two-past-years-question-papers-1571915851.pdf","A","2019-10-24 00:00:00",NULL
"146","27","-What-kind-of-transactions-is-due-diligence-undertaken-for-1573562368.pdf","A","2019-11-12 00:00:00",NULL
"147","27","-How-to-prepare-a-requisition-list-1573562368.pdf","A","2019-11-12 00:00:00",NULL
"148","27","-How-to-write-observations-1573562368.pdf","A","2019-11-12 00:00:00",NULL
"149","27","-Duration-of-a-typical-due-diligence-exercise-1573562368.pdf","A","2019-11-12 00:00:00",NULL
"150","28","-Does-international-tax-law-apply-to-you-if-you-do-not-have-an-office-offshore-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"151","28","-Taxation-of-Foreign-Companies-Place-of-Effective-Management-(PoEM)-Rules-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"152","28","-International-Tax-Structuring-and-Tax-Havens-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"153","28","-Do-commissionnaire-arrangements-constitute-a-PE-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"154","28","-When-should-you-approach-Authority-for-Advance-Rulings-(AAR)-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"155","28","Tax-structuring-How-Google-Microsoft-Apple-other-major-US-tech-giants-save-billions-1573566611.pdf","A","2019-11-12 00:00:00",NULL
"156","29","-New-Regime-Under-Electricity-Act-1573581853.pdf","A","2019-11-12 00:00:00",NULL
"157","29","-How-Distribution-and-Trading-Licenses-Work-1573581853.pdf","A","2019-11-12 00:00:00",NULL
"158","29","-Tariff-Setting-by-SERC,-CERC-and-Generation-Tariffs-1573581853.pdf","A","2019-11-12 00:00:00",NULL
"159","29","-Fixation-of-Transmission-and-Distribution-Tariffs-1573581853.pdf","A","2019-11-12 00:00:00",NULL
"160","30","-How-to-Understand-Any-Technology-Contract-and-Course-Outcomes-1573583912.pdf","A","2019-11-13 00:00:00",NULL
"161","30","-Why-You-Need-A-Checklist-Before-Drafting-Any-Contract-1573583912.pdf","A","2019-11-13 00:00:00",NULL
"162","30","-Types-of-Software-Licenses-1573583912.pdf","A","2019-11-13 00:00:00",NULL
"163","30","-Data-Protection-and-Privacy-Law-1573583912.pdf","A","2019-11-13 00:00:00",NULL
"164","30","-Non-Disclosure-Agreements-1573583912.pdf","A","2019-11-13 00:00:00",NULL
"165","31","-Import-Procedure-and-Duty-1573592366.pdf","A","2019-11-13 00:00:00",NULL
"166","31","-Export-regulations-and-procedure-1573592366.pdf","A","2019-11-13 00:00:00",NULL
"167","31","-Import-Export-Finance-Letters-of-Credit-1573592366.pdf","A","2019-11-13 00:00:00",NULL
"168","31","-How-and-Why-to-Set-Up-an-SEZ-Unit-1573592366.pdf","A","2019-11-13 00:00:00",NULL
